
  No    Ref    V       B-V     U-B
 2182   410  17.500   1.300   0.820
 2183   410  17.510   1.170   0.530
 2184   410  17.550   1.230   0.770
 2185   410  17.570   2.510         
 2186   410  17.600   2.170   1.560
 2187   410  17.600   1.170   0.580
 2188   410  17.610   1.090   0.670
 2189   410  17.620   1.250   1.800
 2190   410  17.630   1.300   1.120
 2191   410  17.630   1.310   1.240
 2192   410  17.640   1.290   1.190
 2193   410  17.660   1.310   0.890
 2194   410  17.680   1.240   0.450
 2195   410  17.690   1.630   1.950
 2196   410  17.710   1.940   1.350
 2197   410  17.710   1.220   0.410
 2198   410  17.720   1.460   1.300
 2199   410  17.730   2.380   1.340
 2200   410  17.760   2.400         
 2201   410  17.760   1.570         
 2202   410  17.770   1.240   0.560
 2203   410  17.790   1.400   1.260
 2204   410  17.820   1.310   1.260
 2205   410  17.820   1.830         
 2206   410  17.830   1.450   1.390
 2207   410  17.850   2.230   1.870
 2208   410  17.880   1.060   0.670
 2209   410  17.900   1.380         
 2210   410  17.910   2.510         
 2211   410  17.910   1.160   0.690
 2212   410  17.930   1.260   0.750
 2213   410  17.930   2.130   0.770
 2214   410  17.950   1.590   1.430
 2215   410  17.960   1.060   0.470
 2216   410  17.970   1.120   0.430
 2217   410  17.970   1.220   0.930
 2218   410  18.000   1.800         
 2219   410  18.000   1.260   0.450
 2220   410  18.010   1.330   0.630
 2221   410  18.020   1.350   0.780
 2222   410  18.020   2.640         
 2223   410  18.020   1.260   0.940
 2224   410  18.030   1.350   1.170
 2225   410  18.040   1.460   0.560
 2226   410  18.040   1.270   0.690
 2228   410  18.050   1.250   1.110
 2229   410  18.050   2.080         
 2230   410  18.050   1.300   0.910
 2231   410  18.060   2.170         
 2232   410  18.070   1.310   0.650
 2233   410  18.070   1.220   0.620
 2234   410  18.070   1.210   0.800
 2235   410  18.080   1.330   0.360
 2237   410  18.090   1.440   0.630
 2238   410  18.100   1.270   0.970
 2239   410  18.120   1.340   1.000
 2240   410  18.120   1.440   1.020
 2241   410  18.130   1.400   0.690
 2242   410  18.130   1.280   0.840
 2243   410  18.130   1.400   1.520
 2244   410  18.140   1.150   0.700
 2245   410  18.150   2.780         
 2246   410  18.150   1.350   0.880
 2247   410  18.170   1.140   0.690
 2248   410  18.170   1.430   0.820
 2249   410  18.180   1.270   0.880
 2250   410  18.180   1.450         
 2251   410  18.180   2.290         
